society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
emaar palm gardens,flat,1.75,9210.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),1900.0,3,3,3,6.0,West,Relatively New,V69525180,sector 83,1900.0,1600.0,1240.0,0,1,0,0,0,2,150
eros wembley estate,flat,1.4,10174.0,Super Built up area 1376(127.83 sq.m.),1376.0,3,3,2,9.0,East,Relatively New,K69325724,sector 50,1376.0,,,0,0,1,0,0,2,117
ss the leaf,flat,2.13,7574.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2812.0,4,4,3,6.0,North,Relatively New,K70087544,sector 85,2812.0,2600.0,2400.0,0,0,0,0,0,0,49
international city by sobha phase 2,house,6.25,10035.0,Plot area 692(578.6 sq.m.),6228.0,5,7,3+,3.0,North-East,Relatively New,,sector 109,,6228.0,,1,1,1,1,0,0,147
ss the coralwood,flat,1.1,4857.0,Super Built up area 1750(162.58 sq.m.),2265.0,3,3,2,9.0,North,Relatively New,H66415758,sector 84,1750.0,,,0,0,0,0,0,0,75
independent,house,2.0,11111.0,Plot area 200(167.23 sq.m.),1800.0,2,2,1,2.0,,Relatively New,,shivpuri,,1800.0,,0,0,0,0,0,0,0
shapoorji pallonji joyville gurugram,flat,1.99,20664.0,Super Built up area 1349(125.33 sq.m.)Carpet area: 963 sq.ft. (89.47 sq.m.),963.0,2,2,2,14.0,South,New Property,V69824946,sector 102,1349.0,,963.0,0,0,0,0,0,0,152
independent,house,0.5,8333.0,Plot area 600(55.74 sq.m.),600.0,3,3,2,2.0,East,Moderately Old,,sector 6,,600.0,,0,0,0,1,0,0,0
tarc maceo,flat,0.89,6339.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1404.0,2,2,3+,9.0,East,Relatively New,G68726244,sector 91,1404.0,,1200.0,0,0,0,0,1,2,13
paras dews,flat,0.87,9255.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),940.0,2,2,3+,1.0,North-East,New Property,X69767456,sector 106,1385.0,1120.0,940.0,0,0,0,0,0,0,174
independent,house,26.0,82540.0,Plot area 402(336.12 sq.m.)Built Up area: 400 sq.yards (334.45 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),3150.0,16,16,3+,4.0,North-West,New Property,,sector 26,,400.0,350.0,1,1,1,1,0,2,72
shapoorji pallonji joyville gurugram,flat,1.2,14563.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 824 sq.ft. (76.55 sq.m.),824.0,2,2,3,0.0,North-East,Relatively New,T69179276,sector 102,1359.0,,824.0,0,0,0,0,0,0,49
dlf the primus,flat,2.25,10714.0,Carpet area: 2100 (195.1 sq.m.),2100.0,3,3,3+,29.0,East,Relatively New,Y62594040,sector 82,,,2100.0,0,1,0,0,0,1,72
emaar palm gardens,flat,1.35,12325.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),1095.0,3,3,3,7.0,South-West,Relatively New,O55737304,sector 83,1720.0,,1095.3,0,1,0,0,0,0,24
m3m skycity,flat,3.5,17039.0,Carpet area: 2054 (190.82 sq.m.),2054.0,3,3,3,15.0,East,New Property,Y69073178,sector 65,,,2054.0,1,1,0,1,0,2,166
ramprastha the edge towers,flat,0.98,5536.0,Super Built up area 1770(164.44 sq.m.)Built Up area: 1675 sq.ft. (155.61 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1770.0,3,3,3+,5.0,North-East,Relatively New,E61449810,sector 37,1770.0,1675.0,1400.0,0,0,0,1,0,0,174
bestech spa signature,flat,4.4,12571.0,Super Built up area 4200(390.19 sq.m.)Built Up area: 3700 sq.ft. (343.74 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),3500.0,4,4,3+,6.0,South-West,New Property,E69200950,sector 81,4200.0,3700.0,3500.0,1,1,0,1,1,1,49
chd avenue,flat,1.1,6790.0,Super Built up area 1620(150.5 sq.m.),1620.0,3,3,3,11.0,,Relatively New,L44903927,sector 71,1620.0,,,0,0,0,0,1,0,72
puri the aravallis,flat,3.9,33209.0,Carpet area: 1249.65 (116.1 sq.m.),1174.0,3,4,3+,33.0,South,Under Construction,D69436810,sector 61,,,1249.68879,0,1,0,0,0,0,158
today callidora,flat,0.9,5548.0,Built Up area: 1622 (150.69 sq.m.),1622.0,3,3,3,3.0,East,Under Construction,V39994101,sector 73,,1622.0,,0,1,0,0,0,0,63
emaar digihomes,flat,4.25,26562.0,Carpet area: 1600 (148.64 sq.m.),1600.0,3,3,3,8.0,,Under Construction,J68201818,sector 62,,,1600.0,1,0,0,0,0,0,16
independent,house,1.45,557.0,Plot area 26000(2415.48 sq.m.),26032.0,4,4,2,2.0,East,Moderately Old,,sector 3,,26000.0,,0,1,0,1,0,0,62
sare crescent parc,flat,0.82,5384.0,Built Up area: 1523 (141.49 sq.m.),1523.0,3,3,3+,12.0,West,Undefined,T68022426,sector 92,,1523.0,,0,0,0,0,0,0,0
tulip violet,flat,1.4,8920.0,Super Built up area 1568(145.67 sq.m.),1570.0,3,3,1,12.0,East,Relatively New,D69354824,sector 69,1568.0,,,0,0,0,1,0,0,86
vatika city homes,flat,1.0,5747.0,Super Built up area 1740(161.65 sq.m.),1740.0,3,3,2,2.0,South-East,Relatively New,W69591392,sector 83,1740.0,,,0,0,1,0,0,2,174
palam vihar extension west zone rwa,house,0.35,6481.0,Plot area 600(55.74 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.),540.0,2,2,0,1.0,North-East,New Property,,sector 110,,,540.0,0,0,0,0,0,0,0
shapoorji pallonji joyville gurugram,flat,0.95,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),915.0,2,2,2,14.0,,Undefined,P69078414,sector 102,,915.0,675.0,0,0,0,0,0,0,0
smart world gems,flat,1.16,10500.0,Super Built up area 1103(102.47 sq.m.),1105.0,3,2,3,1.0,,New Property,P69352646,sector 89,1103.0,,,1,0,0,0,0,0,49
emaar mgf the palm drive,flat,1.51,15130.0,Super Built up area 1200(111.48 sq.m.)Built Up area: 1188 sq.ft. (110.37 sq.m.)Carpet area: 998 sq.ft. (92.72 sq.m.),998.0,2,2,2,5.0,North,Relatively New,C69770156,sector 66,1200.0,1188.0,998.0,0,0,0,1,0,2,82
ramprastha skyz,flat,1.25,7250.0,Built Up area: 1725 (160.26 sq.m.),1724.0,3,3,3+,2.0,North-East,Under Construction,R68021756,sector 37,,1725.0,,0,0,0,0,0,0,8
alpha corp gurgaonone,flat,0.85,6692.0,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1270.0,2,2,3,6.0,West,Relatively New,I69430670,sector 84,1270.0,,1050.0,0,0,0,0,0,2,28
the lions cghs,flat,2.0,8333.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2400.0,4,4,3,8.0,West,Relatively New,O69575176,sector 56,2400.0,,2100.0,0,0,0,0,1,2,49
m3m soulitude,flat,1.42,9978.0,Carpet area: 1423 (132.2 sq.m.),1423.0,3,3,2,3.0,,New Property,F69673370,sector 89,,,1423.0,0,0,0,0,0,0,15
independent,house,10.0,30864.0,Plot area 360(301.01 sq.m.),3240.0,6,6,3+,4.0,North-East,Moderately Old,,sector 45,,3240.0,,1,1,1,1,0,2,70
tulip violet,flat,1.9,9452.0,Super Built up area 2010(186.74 sq.m.),2010.0,4,4,2,0.0,South-West,Relatively New,C69393158,sector 69,2010.0,,,0,0,0,0,0,0,49
sonata group housing gh 24,flat,1.65,5892.0,Carpet area: 2800 (260.13 sq.m.),2800.0,4,3,3,8.0,,New Property,P68194060,sector 1,,,2800.0,0,1,0,0,0,0,20
m3m soulitude,flat,1.32,16923.0,Carpet area: 780 (72.46 sq.m.),780.0,3,3,3,1.0,,Under Construction,M68320998,sector 89,,,780.0,0,0,0,0,0,0,45
satya the hermitage,flat,0.93,6404.0,Carpet area: 1452 (134.9 sq.m.),1452.0,2,3,3,3.0,East,Relatively New,G61210394,sector 103,,,1452.0,0,1,0,0,0,2,90
hsiidc sidco shivalik apartments,flat,0.48,3840.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),1250.0,2,2,3,7.0,South,Moderately Old,G70129192,sector 1,1250.0,,770.0,0,0,0,0,0,0,88
godrej frontier,flat,1.1,5705.0,Super Built up area 1928(179.12 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1391 sq.ft. (129.23 sq.m.),1928.0,3,3,3,8.0,North-West,Moderately Old,Q69444740,sector 80,1928.0,1580.0,1391.0,0,1,0,0,0,0,111
signature global solera,flat,0.27,5521.0,Carpet area: 489 (45.43 sq.m.),489.0,2,2,2,0.0,North-East,Relatively New,X69217210,sector 107,,,489.0,0,0,0,0,0,0,45
independent,house,0.07,2525.0,Plot area 33(27.59 sq.m.),277.0,1,1,0,1.0,,Relatively New,,sohna,,33.0,,0,0,0,0,0,0,0
professors enclave cghs,flat,1.55,7750.0,Super Built up area 2000(185.81 sq.m.),2000.0,3,3,3+,6.0,East,Moderately Old,E68625668,sector 56,2000.0,,,0,1,0,0,0,2,49
godrej air,flat,1.83,10005.0,Carpet area: 1829 (169.92 sq.m.),1829.0,3,3,3+,18.0,,Under Construction,I68755244,sector 85,,,1829.0,0,0,0,0,0,0,110
emaar mgf marbella,house,18.0,40000.0,Plot area 500(418.06 sq.m.),4500.0,5,6,3+,3.0,North-East,Relatively New,,sector 66,,4500.0,,1,1,1,1,0,1,153
experion the heartsong,flat,1.55,7738.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),2003.0,3,3,3+,7.0,North-East,Relatively New,J69625416,sector 108,2003.0,1750.0,1550.0,0,1,0,1,0,2,174
pioneer araya,flat,9.95,20995.0,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4739.0,4,6,3,12.0,South-East,Relatively New,X69844094,sector 62,4739.0,,3219.0,0,1,0,1,0,2,138
emaar the palm springs,house,14.0,62222.0,Plot area 250(209.03 sq.m.),2250.0,4,5,3+,2.0,North,Old Property,,sector 54,,2250.0,,1,1,0,0,0,2,160
pareena coban residences,flat,1.08,6625.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1630 sq.ft. (151.43 sq.m.),1630.0,3,5,3,2.0,West,Relatively New,Q69102728,sector 99a,1997.0,1750.0,1630.0,0,1,0,0,1,0,49
pivotal devaan,flat,0.35,6003.0,Super Built up area 583(54.16 sq.m.),583.0,2,2,1,4.0,East,Relatively New,S70177248,sector 84,583.0,,,0,0,0,0,0,0,37
assotech blith,flat,1.15,6593.0,Super Built up area 1365(126.81 sq.m.),1744.0,2,2,2,2.0,,New Property,M48650859,sector 99,1365.0,,,0,0,0,0,1,2,72
tulip lemon,flat,0.62,12863.0,Carpet area: 482 (44.78 sq.m.),482.0,2,2,1,4.0,North-East,Relatively New,L69568872,sector 69,,,482.0,0,0,0,0,0,2,108
smart world gems,flat,1.3,9135.0,Carpet area: 1423 (132.2 sq.m.),1423.0,3,3,2,2.0,,New Property,X66582760,sector 89,,,1423.0,1,0,0,0,0,0,44
independent,house,5.0,22222.0,Plot area 250(209.03 sq.m.),2250.0,3,3,3,1.0,South,Moderately Old,,sector 14,,2250.0,,0,0,0,0,0,0,25
independent,house,2.25,25000.0,Plot area 100(83.61 sq.m.),900.0,6,3,3+,3.0,North-West,Relatively New,,sector 51,,900.0,,0,0,0,0,0,0,54
signature global orchard avenue,flat,0.85,14237.0,Built Up area: 597 (55.46 sq.m.),597.0,2,2,0,10.0,,Undefined,K69125930,sector 93,,597.0,,0,0,0,0,0,0,0
vipul lavanya,flat,0.65,5265.0,Super Built up area 1225(113.81 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),1235.0,2,2,2,14.0,,Moderately Old,B70187326,sector 81,1225.0,,776.0,0,0,0,0,0,0,96
