society,property_type,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,sector,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
emaar palm gardens,flat,1.75,9211.0,3.0,3,3,6.0,Relatively New,V69525180,sector 83,1600.0,0,1,0,0,0,2,150,633.3333333333334
eros wembley estate,flat,1.4,10174.0,3.0,3,2,9.0,Relatively New,K69325724,sector 50,1239.0,0,0,1,0,0,2,117,458.6666666666667
ss the leaf,flat,2.13,7575.0,4.0,4,3,6.0,Relatively New,K70087544,sector 85,2600.0,0,0,0,0,0,0,49,703.0
international city by sobha phase 2,house,6.25,10035.0,5.0,7,3+,3.0,Relatively New,,sector 109,6228.0,1,1,1,1,0,0,147,1245.6
ss the coralwood,flat,1.1,4857.0,3.0,3,2,9.0,Relatively New,H66415758,sector 84,1575.0,0,0,0,0,0,0,75,755.0
independent,house,2.0,11111.0,2.0,2,1,2.0,Relatively New,,shivpuri,1800.0,0,0,0,0,0,0,0,900.0
shapoorji pallonji joyville gurugram,flat,1.99,20665.0,2.0,2,2,14.0,New Property,V69824946,sector 102,1142.0,0,0,0,0,0,0,152,481.5
independent,house,0.5,8333.0,3.0,3,2,2.0,Moderately Old,,sector 6,600.0,0,0,0,1,0,0,0,200.0
tarc maceo,flat,0.89,6339.0,2.0,2,3+,9.0,Relatively New,G68726244,sector 91,1299.0,0,0,0,0,1,2,13,702.0
paras dews,flat,0.87,9255.0,2.0,2,3+,1.0,New Property,X69767456,sector 106,1120.0,0,0,0,0,0,0,174,470.0
shapoorji pallonji joyville gurugram,flat,1.2,14563.0,2.0,2,3,0.0,Relatively New,T69179276,sector 102,1069.0,0,0,0,0,0,0,49,412.0
dlf the primus,flat,2.25,10714.0,3.0,3,3+,29.0,Relatively New,Y62594040,sector 82,2333.0,0,1,0,0,0,1,72,700.0
emaar palm gardens,flat,1.35,12329.0,3.0,3,3,7.0,Relatively New,O55737304,sector 83,1383.0,0,1,0,0,0,0,24,365.0
m3m skycity,flat,3.5,17040.0,3.0,3,3,15.0,New Property,Y69073178,sector 65,2282.0,1,1,0,1,0,2,166,684.6666666666666
ramprastha the edge towers,flat,0.98,5537.0,3.0,3,3+,5.0,Relatively New,E61449810,sector 37,1675.0,0,0,0,1,0,0,174,590.0
bestech spa signature,flat,4.4,12571.0,4.0,4,3+,6.0,New Property,E69200950,sector 81,3700.0,1,1,0,1,1,1,49,875.0
chd avenue,flat,1.1,6790.0,3.0,3,3,11.0,Relatively New,L44903927,sector 71,1458.0,0,0,0,0,1,0,72,540.0
puri the aravallis,flat,3.9,33220.0,3.0,4,3+,33.0,Under Construction,D69436810,sector 61,1174.0,0,1,0,0,0,0,158,391.3333333333333
today callidora,flat,0.9,5549.0,3.0,3,3,3.0,Under Construction,V39994101,sector 73,1622.0,0,1,0,0,0,0,63,540.6666666666666
emaar digihomes,flat,4.25,26562.0,3.0,3,3,8.0,Under Construction,J68201818,sector 62,1600.0,1,0,0,0,0,0,16,533.3333333333334
sare crescent parc,flat,0.82,5384.0,3.0,3,3+,12.0,Relatively New,T68022426,sector 92,1523.0,0,0,0,0,0,0,0,507.6666666666667
tulip violet,flat,1.4,8917.0,3.0,3,1,12.0,Relatively New,D69354824,sector 69,1411.0,0,0,0,1,0,0,86,523.3333333333334
vatika city homes,flat,1.0,5747.0,3.0,3,2,2.0,Relatively New,W69591392,sector 83,1566.0,0,0,1,0,0,2,174,580.0
palam vihar extension west zone rwa,house,0.35,6481.0,2.0,2,0,1.0,New Property,,sector 110,600.0,0,0,0,0,0,0,0,270.0
shapoorji pallonji joyville gurugram,flat,0.95,10383.0,2.0,2,2,14.0,Relatively New,P69078414,sector 102,915.0,0,0,0,0,0,0,0,457.5
smart world gems,flat,1.16,10498.0,3.0,2,3,1.0,New Property,P69352646,sector 89,993.0,1,0,0,0,0,0,49,368.3333333333333
emaar mgf the palm drive,flat,1.51,15130.0,2.0,2,2,5.0,Relatively New,C69770156,sector 66,1188.0,0,0,0,1,0,2,82,499.0
ramprastha skyz,flat,1.25,7251.0,3.0,3,3+,2.0,Under Construction,R68021756,sector 37,1725.0,0,0,0,0,0,0,8,574.6666666666666
alpha corp gurgaonone,flat,0.85,6693.0,2.0,2,3,6.0,Relatively New,I69430670,sector 84,1155.0,0,0,0,0,0,2,28,635.0
the lions cghs,flat,2.0,8333.0,4.0,4,3,8.0,Relatively New,O69575176,sector 56,2247.0,0,0,0,0,1,2,49,600.0
m3m soulitude,flat,1.42,9979.0,3.0,3,2,3.0,New Property,F69673370,sector 89,1581.0,0,0,0,0,0,0,15,474.3333333333333
independent,house,10.0,30864.0,6.0,6,3+,4.0,Moderately Old,,sector 45,3240.0,1,1,1,1,0,2,70,540.0
tulip violet,flat,1.9,9453.0,4.0,4,2,0.0,Relatively New,C69393158,sector 69,1809.0,0,0,0,0,0,0,49,502.5
sonata group housing gh 24,flat,1.65,5893.0,4.0,3,3,8.0,New Property,P68194060,sector 1,3111.0,0,1,0,0,0,0,20,700.0
m3m soulitude,flat,1.32,16923.0,3.0,3,3,1.0,Under Construction,M68320998,sector 89,867.0,0,0,0,0,0,0,45,260.0
satya the hermitage,flat,0.93,6405.0,2.0,3,3,3.0,Relatively New,G61210394,sector 103,1613.0,0,1,0,0,0,2,90,726.0
hsiidc sidco shivalik apartments,flat,0.48,3840.0,2.0,2,3,7.0,Moderately Old,G70129192,sector 1,990.0,0,0,0,0,0,0,88,625.0
godrej frontier,flat,1.1,5705.0,3.0,3,3,8.0,Moderately Old,Q69444740,sector 80,1580.0,0,1,0,0,0,0,111,642.6666666666666
signature global solera,flat,0.27,5521.0,2.0,2,2,0.0,Relatively New,X69217210,sector 107,543.0,0,0,0,0,0,0,45,244.5
independent,house,0.07,2527.0,1.0,1,0,1.0,Relatively New,,sohna,33.0,0,0,0,0,0,0,0,277.0
professors enclave cghs,flat,1.55,7750.0,3.0,3,3+,6.0,Moderately Old,E68625668,sector 56,1800.0,0,1,0,0,0,2,49,666.6666666666666
godrej air,flat,1.83,10005.0,3.0,3,3+,18.0,Under Construction,I68755244,sector 85,2032.0,0,0,0,0,0,0,110,609.6666666666666
emaar mgf marbella,house,18.0,40000.0,5.0,6,3+,3.0,Relatively New,,sector 66,4500.0,1,1,1,1,0,1,153,900.0
experion the heartsong,flat,1.55,7738.0,3.0,3,3+,7.0,Relatively New,J69625416,sector 108,1750.0,0,1,0,1,0,2,174,667.6666666666666
pioneer araya,flat,9.95,20996.0,4.0,6,3,12.0,Relatively New,X69844094,sector 62,3921.0,0,1,0,1,0,2,138,1184.75
pareena coban residences,flat,1.08,6626.0,3.0,5,3,2.0,Relatively New,Q69102728,sector 99a,1750.0,0,1,0,0,1,0,49,543.3333333333334
pivotal devaan,flat,0.35,6003.0,2.0,2,1,4.0,Relatively New,S70177248,sector 84,525.0,0,0,0,0,0,0,37,291.5
assotech blith,flat,1.15,6594.0,2.0,2,2,2.0,New Property,M48650859,sector 99,1229.0,0,0,0,0,1,2,72,872.0
tulip lemon,flat,0.62,12863.0,2.0,2,1,4.0,Relatively New,L69568872,sector 69,536.0,0,0,0,0,0,2,108,241.0
smart world gems,flat,1.3,9136.0,3.0,3,2,2.0,New Property,X66582760,sector 89,1581.0,1,0,0,0,0,0,44,474.3333333333333
independent,house,5.0,22222.0,3.0,3,3,1.0,Moderately Old,,sector 14,2250.0,0,0,0,0,0,0,25,750.0
independent,house,2.25,2778.0,6.0,3,3+,3.0,Relatively New,,sector 51,900.0,0,0,0,0,0,0,54,1350.0
signature global orchard avenue,flat,0.85,14238.0,2.0,2,0,10.0,Relatively New,K69125930,sector 93,597.0,0,0,0,0,0,0,0,298.5
vipul lavanya,flat,0.65,5263.0,2.0,2,2,14.0,Moderately Old,B70187326,sector 81,982.0,0,0,0,0,0,0,96,617.5
aipl zen residences,flat,1.25,9905.0,2.0,2,3,19.0,Relatively New,U68368438,sector 70,1402.0,0,0,0,0,0,0,0,631.0
sare green parc,flat,0.85,6538.0,3.0,2,2,20.0,Relatively New,Y68788154,sector 92,1300.0,0,0,0,0,0,0,0,433.3333333333333
paras dews,flat,1.14,6000.0,3.0,4,3,8.0,Relatively New,T70064750,sector 106,1305.0,1,1,0,0,0,0,49,633.3333333333334
pareena mi casa,flat,1.0,8163.0,2.0,2,2,16.0,New Property,V69551604,sector 68,1361.0,0,1,0,0,0,0,65,612.5
shree vardhman victoria,flat,1.1,8462.0,2.0,2,2,0.0,New Property,A70028014,sector 70,1023.0,1,0,0,0,0,0,49,650.0
aipl club residences,flat,0.85,9140.0,2.0,2,2,5.0,Relatively New,J69964070,sector 70,837.0,0,0,0,0,0,2,45,465.0
independent,house,4.25,26235.0,5.0,5,3+,3.0,Moderately Old,,sector 31,1620.0,0,0,1,1,0,2,56,324.0
sukhshanti apartment,flat,1.7,7727.0,3.0,3,3,4.0,Moderately Old,K69780144,sector 56,2200.0,1,0,0,0,0,0,49,733.3333333333334
independent,house,12.5,40611.0,6.0,5,3,4.0,Moderately Old,,sector 50,3078.0,1,1,0,1,0,2,23,513.0
smart world orchard,flat,1.6,13913.0,2.0,2,2,4.0,New Property,U69433708,sector 61,1278.0,1,0,0,0,1,0,29,575.0
conscient heritage max,flat,2.5,11633.0,3.0,4,3+,25.0,New Property,H58335368,sector 102,1934.0,1,1,0,0,0,2,56,716.3333333333334
independent,house,4.0,29630.0,4.0,4,3,2.0,Old Property,,sector 26,1350.0,0,0,1,0,0,0,41,337.5
smart world gems,flat,0.88,7978.0,2.0,2,0,2.0,New Property,J69238068,sector 89,1103.0,0,0,0,0,0,0,45,551.5
unitech uniworld resorts,house,9.55,19293.0,6.0,7,3+,2.0,Relatively New,,sector 33,4950.0,1,1,1,1,0,2,126,825.0
ireo skyon,flat,3.8,13571.0,4.0,5,3,15.0,Moderately Old,S68411868,sector 60,2791.0,0,1,0,0,0,2,145,700.0
shapoorji pallonji joyville gurugram,flat,1.77,9195.0,3.0,3,3,1.0,Relatively New,I68619928,sector 102,1644.0,0,0,0,0,0,0,151,641.6666666666666
vatika signature villas,house,3.2,14350.0,3.0,4,3,1.0,New Property,,sector 82,2160.0,1,1,1,1,0,0,66,743.3333333333334
zara aavaas,flat,0.4,7030.0,2.0,2,1,4.0,Relatively New,S56426314,sector 104,512.0,0,0,0,0,0,0,52,284.5
ats kocoon,flat,2.15,10263.0,3.0,4,3,9.0,Relatively New,Q69510912,sector 109,1886.0,0,1,0,0,0,0,97,698.3333333333334
satya the hermitage,flat,0.8,5517.0,2.0,2,0,10.0,Relatively New,U69277026,sector 103,1450.0,0,0,0,0,0,0,61,725.0
piedmont taksila heights,flat,1.05,4792.0,3.0,3,3,7.0,Relatively New,M38858307,sector 37c,1728.0,0,0,0,0,0,2,81,730.3333333333334
zara aavaas,flat,0.65,8519.0,3.0,2,2,7.0,New Property,X69156292,sector 104,848.0,0,0,0,0,0,0,65,254.33333333333331
paras dews,flat,1.17,6648.0,3.0,4,3+,12.0,Relatively New,C69430468,sector 106,1186.0,0,1,0,0,0,0,49,586.6666666666666
antriksh heights,flat,0.84,4870.0,3.0,3,3+,8.0,New Property,G69088060,sector 84,1553.0,0,0,0,1,0,0,60,575.0
tata primanti,flat,5.0,11364.0,4.0,4,3+,2.0,New Property,V69925314,sector 72,4000.0,1,1,1,0,0,2,174,1100.0
independent,house,0.74,7400.0,3.0,3,0,2.0,Moderately Old,,sector 105,1000.0,0,0,0,0,0,0,0,333.3333333333333
experion the heartsong,flat,2.28,8204.0,4.0,5,3+,8.0,Relatively New,G69550184,sector 108,2501.0,0,0,0,0,0,0,101,694.75
independent,house,0.4,7619.0,2.0,2,1,1.0,Relatively New,,sector 110,583.0,0,0,0,0,0,0,0,262.5
independent,house,1.25,11574.0,2.0,5,1,2.0,New Property,,sector 6,120.0,0,0,0,1,0,0,0,540.0
sbtl caladium,flat,1.2,6383.0,3.0,2,2,8.0,Relatively New,R68625608,sector 109,1692.0,0,0,0,0,0,0,151,626.6666666666666
dlf the primus,flat,1.87,10395.0,3.0,3,3,31.0,Moderately Old,O68656188,sector 82,1664.0,0,0,0,1,0,0,38,599.6666666666666
bhim nagar society,house,0.4,2500.0,4.0,2,2,1.0,Moderately Old,,sector 6,1600.0,0,0,0,0,0,0,0,400.0
independent,house,5.65,23870.0,8.0,6,3+,3.0,Moderately Old,,sector 46,2367.0,0,1,0,0,0,2,67,295.875
uppal southend,house,3.75,25562.0,6.0,6,3+,3.0,Moderately Old,,sector 49,1467.0,1,0,0,0,0,2,26,244.5
independent,house,3.69,23699.0,4.0,4,2,2.0,Moderately Old,,sector 31,1557.0,1,1,0,1,0,2,75,389.25
dlf the skycourt,flat,1.5,9740.0,3.0,3,3+,18.0,Relatively New,Z69657480,sector 86,1780.0,1,0,0,0,0,0,174,513.3333333333334
madan puri,house,0.75,12500.0,3.0,5,3,3.0,Moderately Old,,sector 7,600.0,0,0,0,0,0,0,0,200.0
independent,house,1.5,14245.0,2.0,3,2,1.0,New Property,,sohna,1053.0,1,0,0,1,0,2,69,526.5
independent,house,2.25,6944.0,10.0,10,2,1.0,Old Property,,sector 13,400.0,0,0,0,0,0,0,0,324.0
ardee city,house,2.25,16071.0,3.0,3,3,4.0,New Property,,sector 52,1800.0,0,1,0,0,0,2,22,466.6666666666667
assotech blith,flat,0.92,6740.0,2.0,2,3+,22.0,Under Construction,K68182666,sector 99,1229.0,0,0,0,0,0,0,56,682.5
independent,house,1.45,12393.0,4.0,4,2,2.0,Old Property,,sector 15,130.0,0,0,0,0,1,0,13,292.5
sare green parc,flat,0.85,6741.0,3.0,2,2,14.0,Relatively New,Q69238056,sector 92,1261.0,0,0,0,0,0,0,0,420.3333333333333
mrg world ultimus,flat,0.5,6983.0,2.0,2,2,1.0,Under Construction,K68195520,sector 90,796.0,0,0,0,0,0,0,21,358.0
orris aster court premier,flat,1.2,5660.0,3.0,4,2,6.0,Relatively New,W69123064,sector 85,1650.0,0,1,0,0,0,0,28,706.6666666666666
nul,house,6.25,34722.0,5.0,5,3,2.0,Moderately Old,,sector 25,1800.0,0,1,0,1,0,2,112,360.0
park royal apartment,flat,1.71,7600.0,3.0,3,3+,5.0,Moderately Old,R68680194,sector 56,2251.0,0,1,0,0,0,2,118,750.0
independent,house,0.55,5000.0,2.0,1,0,1.0,Old Property,,sector 5,1100.0,0,0,0,0,0,0,0,550.0
independent,house,5.5,19298.0,8.0,7,3+,3.0,Moderately Old,,sector 43,2850.0,1,1,0,1,1,2,123,356.25
la vida by tata housing,flat,2.78,10335.0,3.0,4,3+,5.0,Relatively New,M68451874,sector 113,2350.0,0,1,0,0,0,0,174,896.6666666666666
smart world gems,flat,0.86,7797.0,2.0,3,2,4.0,New Property,G66179018,sector 89,1226.0,1,1,0,1,0,2,72,551.5
independent,house,3.2,14222.0,3.0,3,2,2.0,Old Property,,sector 4,2250.0,0,0,0,0,0,0,13,750.0
bestech altura,flat,1.85,8605.0,3.0,3,3,7.0,New Property,Z70038990,sector 79,1650.0,0,1,0,0,0,0,53,716.6666666666666
dlf the ultima,flat,3.5,11686.0,4.0,5,3+,7.0,Relatively New,L70015174,sector 81,2570.0,0,1,0,0,0,1,174,748.75
umang monsoon breeze,flat,0.8,4837.0,3.0,2,2,7.0,Moderately Old,U69662826,sector 78,1472.0,0,0,0,1,0,0,102,551.3333333333334
sare homes,flat,0.8,5253.0,3.0,3,3,7.0,Relatively New,O69809178,sector 92,1692.0,1,0,0,0,0,2,80,507.6666666666667
shree arihant apartment,flat,1.55,8611.0,3.0,3,3,3.0,Moderately Old,U69772026,sector 54,1900.0,0,1,0,0,0,2,109,600.0
independent,house,2.8,18667.0,4.0,4,0,2.0,Old Property,,sector 55,1500.0,0,0,0,0,0,0,0,375.0
uphaar residency 2,flat,0.42,5600.0,3.0,2,1,0.0,Moderately Old,V66177344,sector 105,833.0,0,0,0,0,1,0,7,250.0
antriksh heights,flat,1.02,4869.0,4.0,4,3+,11.0,Relatively New,K67426782,sector 84,1886.0,0,1,0,1,0,0,99,523.75
the lions cghs,flat,1.99,11056.0,4.0,4,3+,4.0,Old Property,T68585622,sector 56,2000.0,0,0,0,1,1,2,105,450.0
independent,house,5.25,38889.0,4.0,4,3+,2.0,Relatively New,,sector 24,1350.0,0,1,0,1,0,2,72,337.5
independent,house,5.75,29716.0,4.0,4,2,2.0,Old Property,,c block sushant lok phase 1,1935.0,0,1,1,1,0,0,34,483.75
tulip violet,flat,1.19,8815.0,2.0,3,1,0.0,Relatively New,X69575972,sector 69,1500.0,1,0,0,0,0,2,174,675.0
independent,house,0.9,10000.0,1.0,5,3,3.0,New Property,,sector 10,250.0,0,0,0,0,1,0,14,900.0
dlf regal gardens,flat,1.13,6647.0,3.0,3,3+,8.0,Relatively New,S44698755,sector 90,1557.0,0,0,0,0,1,0,72,566.6666666666666
independent,house,0.45,5000.0,3.0,2,1,2.0,Old Property,,sector 7,900.0,0,0,0,0,1,0,12,300.0
shapoorji pallonji joyville gurugram,flat,1.3,17687.0,2.0,2,3,0.0,Relatively New,J69435020,sector 102,1009.0,0,0,1,0,0,0,125,367.5
