property_type,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,3.0,3,3.0,3.0,90.0,1600.0,1,0,2,633.3333333333334,0.0,2.0,1.75
0.0,3.0,3,2.0,3.0,57.0,1239.0,0,1,2,458.6666666666667,2.0,2.0,1.4
0.0,4.0,4,3.0,3.0,92.0,2600.0,0,0,0,703.0,1.0,2.0,2.13
1.0,5.0,7,4.0,3.0,15.0,6228.0,1,1,0,1245.6,2.0,2.0,6.25
0.0,3.0,3,2.0,3.0,91.0,1575.0,0,0,0,755.0,2.0,2.0,1.1
1.0,2.0,2,1.0,3.0,106.0,1800.0,0,0,0,900.0,1.0,1.0,2.0
0.0,2.0,2,2.0,1.0,8.0,1142.0,0,0,0,481.5,0.0,0.0,1.99
1.0,3.0,3,2.0,0.0,66.0,600.0,0,0,0,200.0,1.0,1.0,0.5
0.0,2.0,2,4.0,3.0,99.0,1299.0,0,0,2,702.0,1.0,2.0,0.89
0.0,2.0,2,4.0,1.0,12.0,1120.0,0,0,0,470.0,0.0,1.0,0.87
0.0,2.0,2,3.0,3.0,8.0,1069.0,0,0,0,412.0,1.0,1.0,1.2
0.0,3.0,3,4.0,3.0,89.0,2333.0,1,0,1,700.0,2.0,0.0,2.25
0.0,3.0,3,3.0,3.0,90.0,1383.0,1,0,0,365.0,1.0,2.0,1.35
0.0,3.0,3,3.0,1.0,71.0,2282.0,1,0,2,684.6666666666666,0.0,0.0,3.5
0.0,3.0,3,4.0,3.0,43.0,1675.0,0,0,0,590.0,0.0,2.0,0.98
0.0,4.0,4,4.0,1.0,88.0,3700.0,1,0,1,875.0,1.0,2.0,4.4
0.0,3.0,3,3.0,3.0,78.0,1458.0,0,0,0,540.0,2.0,0.0,1.1
0.0,3.0,4,4.0,4.0,68.0,1174.0,1,0,0,391.3333333333333,0.0,0.0,3.9
0.0,3.0,3,3.0,4.0,80.0,1622.0,1,0,0,540.6666666666666,2.0,2.0,0.9
0.0,3.0,3,3.0,4.0,69.0,1600.0,0,0,0,533.3333333333334,1.0,2.0,4.25
0.0,3.0,3,4.0,3.0,100.0,1523.0,0,0,0,507.6666666666667,1.0,0.0,0.82
0.0,3.0,3,1.0,3.0,75.0,1411.0,0,0,0,523.3333333333334,2.0,0.0,1.4
0.0,3.0,3,2.0,3.0,90.0,1566.0,0,1,2,580.0,0.0,1.0,1.0
1.0,2.0,2,0.0,1.0,17.0,600.0,0,0,0,270.0,1.0,1.0,0.35
0.0,2.0,2,2.0,3.0,8.0,915.0,0,0,0,457.5,1.0,0.0,0.95
0.0,3.0,2,3.0,1.0,96.0,993.0,0,0,0,368.3333333333333,1.0,1.0,1.16
0.0,2.0,2,2.0,3.0,72.0,1188.0,0,0,2,499.0,2.0,2.0,1.51
0.0,3.0,3,4.0,4.0,43.0,1725.0,0,0,0,574.6666666666666,1.0,1.0,1.25
0.0,2.0,2,3.0,3.0,91.0,1155.0,0,0,2,635.0,1.0,2.0,0.85
0.0,4.0,4,3.0,3.0,63.0,2247.0,0,0,2,600.0,1.0,2.0,2.0
0.0,3.0,3,2.0,1.0,96.0,1581.0,0,0,0,474.3333333333333,1.0,2.0,1.42
1.0,6.0,6,4.0,0.0,51.0,3240.0,1,1,2,540.0,2.0,2.0,10.0
0.0,4.0,4,2.0,3.0,75.0,1809.0,0,0,0,502.5,1.0,1.0,1.9
0.0,4.0,3,3.0,1.0,6.0,3111.0,1,0,0,700.0,1.0,2.0,1.65
0.0,3.0,3,3.0,4.0,96.0,867.0,0,0,0,260.0,1.0,1.0,1.32
0.0,2.0,3,3.0,3.0,9.0,1613.0,1,0,2,726.0,2.0,2.0,0.93
0.0,2.0,2,3.0,0.0,6.0,990.0,0,0,0,625.0,2.0,2.0,0.48
0.0,3.0,3,3.0,0.0,87.0,1580.0,1,0,0,642.6666666666666,2.0,2.0,1.1
0.0,2.0,2,2.0,3.0,13.0,543.0,0,0,0,244.5,1.0,1.0,0.27
1.0,1.0,1,0.0,3.0,107.0,33.0,0,0,0,277.0,1.0,1.0,0.07
0.0,3.0,3,4.0,0.0,63.0,1800.0,1,0,2,666.6666666666666,1.0,2.0,1.55
0.0,3.0,3,4.0,4.0,92.0,2032.0,0,0,0,609.6666666666666,2.0,0.0,1.83
1.0,5.0,6,4.0,3.0,72.0,4500.0,1,1,1,900.0,0.0,2.0,18.0
0.0,3.0,3,4.0,3.0,14.0,1750.0,1,0,2,667.6666666666666,0.0,2.0,1.55
0.0,4.0,6,3.0,3.0,69.0,3921.0,1,0,2,1184.75,2.0,0.0,9.95
0.0,3.0,5,3.0,3.0,105.0,1750.0,1,0,0,543.3333333333334,1.0,1.0,1.08
0.0,2.0,2,1.0,3.0,91.0,525.0,0,0,0,291.5,1.0,2.0,0.35
0.0,2.0,2,2.0,1.0,104.0,1229.0,0,0,2,872.0,2.0,1.0,1.15
0.0,2.0,2,1.0,3.0,75.0,536.0,0,0,2,241.0,2.0,2.0,0.62
0.0,3.0,3,2.0,1.0,96.0,1581.0,0,0,0,474.3333333333333,1.0,1.0,1.3
1.0,3.0,3,3.0,0.0,24.0,2250.0,0,0,0,750.0,1.0,1.0,5.0
1.0,6.0,3,4.0,3.0,58.0,900.0,0,0,0,1350.0,2.0,2.0,2.25
0.0,2.0,2,0.0,3.0,101.0,597.0,0,0,0,298.5,1.0,2.0,0.85
0.0,2.0,2,2.0,0.0,88.0,982.0,0,0,0,617.5,2.0,0.0,0.65
0.0,2.0,2,3.0,3.0,77.0,1402.0,0,0,0,631.0,1.0,0.0,1.25
0.0,3.0,2,2.0,3.0,100.0,1300.0,0,0,0,433.3333333333333,1.0,0.0,0.85
0.0,3.0,4,3.0,3.0,12.0,1305.0,1,0,0,633.3333333333334,1.0,2.0,1.14
0.0,2.0,2,2.0,1.0,74.0,1361.0,1,0,0,612.5,2.0,0.0,1.0
0.0,2.0,2,2.0,1.0,77.0,1023.0,0,0,0,650.0,1.0,1.0,1.1
0.0,2.0,2,2.0,3.0,77.0,837.0,0,0,2,465.0,1.0,2.0,0.85
1.0,5.0,5,4.0,0.0,39.0,1620.0,0,1,2,324.0,2.0,2.0,4.25
0.0,3.0,3,3.0,0.0,63.0,2200.0,0,0,0,733.3333333333334,1.0,2.0,1.7
1.0,6.0,5,3.0,0.0,57.0,3078.0,1,0,2,513.0,1.0,2.0,12.5
0.0,2.0,2,2.0,1.0,68.0,1278.0,0,0,0,575.0,1.0,2.0,1.6
0.0,3.0,4,4.0,1.0,8.0,1934.0,1,0,2,716.3333333333334,2.0,0.0,2.5
1.0,4.0,4,3.0,2.0,34.0,1350.0,0,1,0,337.5,1.0,1.0,4.0
0.0,2.0,2,0.0,1.0,96.0,1103.0,0,0,0,551.5,1.0,1.0,0.88
1.0,6.0,7,4.0,3.0,40.0,4950.0,1,1,2,825.0,2.0,1.0,9.55
0.0,4.0,5,3.0,0.0,67.0,2791.0,1,0,2,700.0,2.0,0.0,3.8
0.0,3.0,3,3.0,3.0,8.0,1644.0,0,0,0,641.6666666666666,0.0,1.0,1.77
1.0,3.0,4,3.0,1.0,89.0,2160.0,1,1,0,743.3333333333334,2.0,1.0,3.2
0.0,2.0,2,1.0,3.0,10.0,512.0,0,0,0,284.5,2.0,2.0,0.4
0.0,3.0,4,3.0,3.0,15.0,1886.0,1,0,0,698.3333333333334,2.0,2.0,2.15
0.0,2.0,2,0.0,3.0,9.0,1450.0,0,0,0,725.0,2.0,2.0,0.8
0.0,3.0,3,3.0,3.0,44.0,1728.0,0,0,2,730.3333333333334,2.0,2.0,1.05
0.0,3.0,2,2.0,1.0,10.0,848.0,0,0,0,254.3333333333333,2.0,2.0,0.65
0.0,3.0,4,4.0,3.0,12.0,1186.0,1,0,0,586.6666666666666,1.0,0.0,1.17
0.0,3.0,3,4.0,1.0,91.0,1553.0,0,0,0,575.0,2.0,2.0,0.84
0.0,4.0,4,4.0,1.0,79.0,4000.0,1,1,2,1100.0,0.0,1.0,5.0
1.0,3.0,3,0.0,0.0,11.0,1000.0,0,0,0,333.3333333333333,1.0,1.0,0.74
0.0,4.0,5,4.0,3.0,14.0,2501.0,0,0,0,694.75,2.0,2.0,2.28
1.0,2.0,2,1.0,3.0,17.0,583.0,0,0,0,262.5,1.0,1.0,0.4
1.0,2.0,5,1.0,1.0,66.0,120.0,0,0,0,540.0,1.0,1.0,1.25
0.0,3.0,2,2.0,3.0,15.0,1692.0,0,0,0,626.6666666666666,0.0,2.0,1.2
0.0,3.0,3,3.0,0.0,89.0,1664.0,0,0,0,599.6666666666666,1.0,0.0,1.87
1.0,4.0,2,2.0,0.0,66.0,1600.0,0,0,0,400.0,1.0,1.0,0.4
1.0,8.0,6,4.0,0.0,52.0,2367.0,1,0,2,295.875,2.0,2.0,5.65
1.0,6.0,6,4.0,0.0,55.0,1467.0,0,0,2,244.5,1.0,2.0,3.75
1.0,4.0,4,2.0,0.0,39.0,1557.0,1,0,2,389.25,2.0,1.0,3.69
0.0,3.0,3,4.0,3.0,93.0,1780.0,0,0,0,513.3333333333334,0.0,0.0,1.5
1.0,3.0,5,3.0,0.0,76.0,600.0,0,0,0,200.0,1.0,2.0,0.75
