property_type,price,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,1.75,3.0,3,3,Relatively New,sector 83,1600.0,1,0,2,High,Mid Floor
flat,1.4,3.0,3,2,Relatively New,sector 50,1239.0,0,1,2,Medium,Mid Floor
flat,2.13,4.0,4,3,Relatively New,sector 85,2600.0,0,0,0,Low,Mid Floor
house,6.25,5.0,7,3+,Relatively New,sector 109,6228.0,1,1,0,Medium,Mid Floor
flat,1.1,3.0,3,2,Relatively New,sector 84,1575.0,0,0,0,Medium,Mid Floor
house,2.0,2.0,2,1,Relatively New,shivpuri,1800.0,0,0,0,Low,Low Floor
flat,1.99,2.0,2,2,New Property,sector 102,1142.0,0,0,0,High,High Floor
house,0.5,3.0,3,2,Moderately Old,sector 6,600.0,0,0,0,Low,Low Floor
flat,0.89,2.0,2,3+,Relatively New,sector 91,1299.0,0,0,2,Low,Mid Floor
flat,0.87,2.0,2,3+,New Property,sector 106,1120.0,0,0,0,High,Low Floor
flat,1.2,2.0,2,3,Relatively New,sector 102,1069.0,0,0,0,Low,Low Floor
flat,2.25,3.0,3,3+,Relatively New,sector 82,2333.0,1,0,1,Medium,High Floor
flat,1.35,3.0,3,3,Relatively New,sector 83,1383.0,1,0,0,Low,Mid Floor
flat,3.5,3.0,3,3,New Property,sector 65,2282.0,1,0,2,High,High Floor
flat,0.98,3.0,3,3+,Relatively New,sector 37,1675.0,0,0,0,High,Mid Floor
flat,4.4,4.0,4,3+,New Property,sector 81,3700.0,1,0,1,Low,Mid Floor
flat,1.1,3.0,3,3,Relatively New,sector 71,1458.0,0,0,0,Medium,High Floor
flat,3.9,3.0,4,3+,Under Construction,sector 61,1174.0,1,0,0,High,High Floor
flat,0.9,3.0,3,3,Under Construction,sector 73,1622.0,1,0,0,Medium,Mid Floor
flat,4.25,3.0,3,3,Under Construction,sector 62,1600.0,0,0,0,Low,Mid Floor
flat,0.82,3.0,3,3+,Relatively New,sector 92,1523.0,0,0,0,Low,High Floor
flat,1.4,3.0,3,1,Relatively New,sector 69,1411.0,0,0,0,Medium,High Floor
flat,1.0,3.0,3,2,Relatively New,sector 83,1566.0,0,1,2,High,Low Floor
house,0.35,2.0,2,0,New Property,sector 110,600.0,0,0,0,Low,Low Floor
flat,0.95,2.0,2,2,Relatively New,sector 102,915.0,0,0,0,Low,High Floor
flat,1.16,3.0,2,3,New Property,sector 89,993.0,0,0,0,Low,Low Floor
flat,1.51,2.0,2,2,Relatively New,sector 66,1188.0,0,0,2,Medium,Mid Floor
flat,1.25,3.0,3,3+,Under Construction,sector 37,1725.0,0,0,0,Low,Low Floor
flat,0.85,2.0,2,3,Relatively New,sector 84,1155.0,0,0,2,Low,Mid Floor
flat,2.0,4.0,4,3,Relatively New,sector 56,2247.0,0,0,2,Low,Mid Floor
flat,1.42,3.0,3,2,New Property,sector 89,1581.0,0,0,0,Low,Mid Floor
